lat_degs,lat_mins,lat_secs,lon_degs,lon_mins,lon_secs
-6.000000,9.000000,26.298360,71.000000,32.000000,19.767840
-6.000000,9.000000,26.297640,71.000000,32.000000,19.770000
-6.000000,9.000000,26.297280,71.000000,32.000000,19.771440
-6.000000,9.000000,26.296200,71.000000,32.000000,19.772160
-6.000000,9.000000,26.292960,71.000000,32.000000,19.773240
-6.000000,9.000000,26.290080,71.000000,32.000000,19.773240
-6.000000,9.000000,26.286120,71.000000,32.000000,19.773600
-6.000000,9.000000,26.281800,71.000000,32.000000,19.774320
-6.000000,9.000000,26.278560,71.000000,32.000000,19.775040
-6.000000,9.000000,26.276040,71.000000,32.000000,19.776120
-6.000000,9.000000,26.275680,71.000000,32.000000,19.777200
-6.000000,9.000000,26.274600,71.000000,32.000000,19.778640
-6.000000,9.000000,26.274240,71.000000,32.000000,19.779000
-6.000000,9.000000,26.274240,71.000000,32.000000,19.777920
-6.000000,9.000000,26.272800,71.000000,32.000000,19.776480
-6.000000,9.000000,26.269920,71.000000,32.000000,19.775400
-6.000000,9.000000,26.266320,71.000000,32.000000,19.774320
-6.000000,9.000000,26.263440,71.000000,32.000000,19.774320
-6.000000,9.000000,26.260920,71.000000,32.000000,19.773240
-6.000000,9.000000,26.259120,71.000000,32.000000,19.773960
-6.000000,9.000000,26.256960,71.000000,32.000000,19.774680
-6.000000,9.000000,26.255880,71.000000,32.000000,19.777200
-6.000000,9.000000,26.254800,71.000000,32.000000,19.779360
-6.000000,9.000000,26.254080,71.000000,32.000000,19.780800
-6.000000,9.000000,26.251200,71.000000,32.000000,19.781880
-6.000000,9.000000,26.247960,71.000000,32.000000,19.781520
-6.000000,9.000000,26.246520,71.000000,32.000000,19.781520
-6.000000,9.000000,26.245080,71.000000,32.000000,19.781880
-6.000000,9.000000,26.244000,71.000000,32.000000,19.781880
-6.000000,9.000000,26.243640,71.000000,32.000000,19.781880
-6.000000,9.000000,26.243280,71.000000,32.000000,19.782240
-6.000000,9.000000,26.244000,71.000000,32.000000,19.782960
-6.000000,9.000000,26.244000,71.000000,32.000000,19.784040
-6.000000,9.000000,26.244360,71.000000,32.000000,19.785840
-6.000000,9.000000,26.243280,71.000000,32.000000,19.785840
-6.000000,9.000000,26.241480,71.000000,32.000000,19.785480
-6.000000,9.000000,26.239680,71.000000,32.000000,19.785840
-6.000000,9.000000,26.237520,71.000000,32.000000,19.786560
-6.000000,9.000000,26.234280,71.000000,32.000000,19.786200
-6.000000,9.000000,26.230320,71.000000,32.000000,19.785480
-6.000000,9.000000,26.226720,71.000000,32.000000,19.785480
-6.000000,9.000000,26.222760,71.000000,32.000000,19.785480
-6.000000,9.000000,26.219880,71.000000,32.000000,19.786560
-6.000000,9.000000,26.217720,71.000000,32.000000,19.788000
-6.000000,9.000000,26.215920,71.000000,32.000000,19.790520
-6.000000,9.000000,26.215560,71.000000,32.000000,19.793760
-6.000000,9.000000,26.215560,71.000000,32.000000,19.795920
-6.000000,9.000000,26.214840,71.000000,32.000000,19.797000
-6.000000,9.000000,26.214120,71.000000,32.000000,19.797000
-6.000000,9.000000,26.212680,71.000000,32.000000,19.797000
-6.000000,9.000000,26.210880,71.000000,32.000000,19.795920
-6.000000,9.000000,26.208720,71.000000,32.000000,19.795200
-6.000000,9.000000,26.206920,71.000000,32.000000,19.794480
-6.000000,9.000000,26.205120,71.000000,32.000000,19.793400
-6.000000,9.000000,26.203320,71.000000,32.000000,19.793400
-6.000000,9.000000,26.201880,71.000000,32.000000,19.794120
-6.000000,9.000000,26.200440,71.000000,32.000000,19.795560
-6.000000,9.000000,26.199720,71.000000,32.000000,19.797720
-6.000000,9.000000,26.197920,71.000000,32.000000,19.801320
-6.000000,9.000000,26.196120,71.000000,32.000000,19.804200
-6.000000,9.000000,26.194320,71.000000,32.000000,19.806360
-6.000000,9.000000,26.191440,71.000000,32.000000,19.807440
